1, a, north
1, a, north
1, b, north
1, b, north
1, c, north
1, c, north
1, d, north
1, d, east
2, d, east
3, d, east
1, a, north
1, a, north
1, b, north
1, b, north
1, c, north
1, c, north
1, d, north
1, d, east
2, d, east
3, d, east
1, a, north
1, a, north
1, b, north
1, b, north
1, c, north
1, c, north
1, d, north
1, d, east
2, d, east
3, d, east
3, d, east
3, d, south
3, d, south
3, c, south
3, c, south
3, b, south
3, b, south
3, a, south
3, a, west
3, a, north
3, a, east
4, a, east
5, a, east
5, a, east
5, a, south
5, a, west
4, a, west
3, a, west
2, a, west
1, a, west
1, a, west
1, a, north
1, a, north
1, b, north
1, b, north
1, c, north
1, c, north
1, d, north
1, d, north
1, e, north
1, e, east
2, e, east
3, e, east
4, e, east
5, e, east
1, a, north
1, a, east
2, a, east
1, a, north
1, a, north
1, b, north
1, b, north
1, c, north
1, c, north
1, d, north
1, d, east
2, d, east
3, d, east
3, d, east
3, d, east
3, d, south
3, d, south
3, c, south
3, c, south
3, b, south
3, b, south
3, a, south
3, a, west
2, a, west
1, a, west
1, a, west
1, a, north
1, a, north
1, b, north
1, b, north
1, c, north
1, c, north
1, d, north
1, d, north
1, e, north
1, e, east
2, e, east
3, e, east
4, e, east
5, e, east
5, e, east
5, e, south
5, e, south
5, d, south
5, d, south
5, c, south
5, c, south
5, b, south
5, b, south
5, a, south
5, a, west
4, a, west
3, a, west
2, a, west
1, a, west
1, a, north
1, a, east
2, a, east
3, a, east
4, a, east
5, a, east
5, a, east
5, a, south
5, a, west
4, a, west
3, a, west
2, a, west
1, a, west
1, a, north
1, a, north
1, b, north
1, b, north
1, c, north
1, c, north
1, d, north
1, d, east
2, d, east
3, d, east
4, d, east
5, d, east
1, a, north
1, b, north
1, c, north
1, d, north
1, d, east
2, d, east
3, d, east
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, east
3, c, east
3, c, south
3, c, west
3, c, north
3, d, north
1, a, north
1, b, north
1, c, north
1, d, north
1, d, east
2, d, east
3, d, east
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, east
3, c, east
3, c, south
3, c, west
3, c, north
3, d, north
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
3, b, south
3, a, south
3, a, west
3, a, north
3, a, east
4, a, east
5, a, east
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
3, b, south
3, a, south
3, a, west
3, a, north
3, a, east
4, a, east
5, a, east
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
3, b, south
3, a, south
3, a, west
3, a, north
3, a, east
4, a, east
5, a, east
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, east
3, c, east
3, c, south
3, c, west
3, c, north
3, d, north
